Maantiede;Mikä on Australian pääkaupunki?;Melbourne;Canberra;Sydney;Brisbane;2
Viihde;Kuka ohjasi elokuvan Pulp Fiction?;Quentin Tarantino;Martin Scorsese;Steven Spielberg;Christopher Nolan;1
Historia ja yhteiskunta;Mikä on Yhdysvaltain itsenäisyyspäivä?;1. tammikuuta;4. heinäkuuta;25. joulukuuta;6. marraskuuta;2
Kirjallisuus ja taide;Kuka kirjoitti romaanin Ylpeys ja ennakkoluulo?;Jane Austen;Charlotte Brontë;Emily Brontë;Louisa May Alcott;1
Luonto ja tiede;Mikä on Maan suurin valtameri?;Tyynimeri;Atlantin valtameri;Intian valtameri;Eteläinen jäämeri;1
Urheilu ja vapaa-aika;Kuka voitti jalkapallon miesten maailmanmestaruuden vuonna 2018?;Ranska;Brasilia;Saksa;Argentiina;1
Maantiede;Mikä on maailman korkein vuori?;Everest;K2;Kilimanjaro;Denali;1
Viihde;Kuka lauloi kappaleen Umbrella?;Beyoncé;Rihanna;Adele;Lady Gaga;2
Historia ja yhteiskunta;Mikä oli Napoleon Bonaparten ensimmäinen vaimon nimi?;Joséphine;Marie-Louise;Marie-Thérèse;Eugénie;1
Kirjallisuus ja taide;Mikä on maailman kuuluisin maalaus?;Mona Lisa;Tähtikirkas yö;Vapauden johtaja;Vesimelonit;1
Luonto ja tiede;Mikä on ainoa lentokykyinen matelijalaji?;Käärme;Sisilisko;Lisko;Kuukeli;2
Urheilu ja vapaa-aika;Mikä on maailman suurin jalkapalloseura?;Real Madrid;Manchester United;Barcelona;Bayern München;1
Maantiede;Mikä on maailman pisin joki?;Amazon;Niger;Mississippi;Niili;4
Viihde;Kuka näytteli elokuvassa Joker?;Jared Leto;Joaquin Phoenix;Heath Ledger;Jack Nicholson;2
Historia ja yhteiskunta;Mikä maa hyökkäsi ensimmäisenä toisessa maailmansodassa?;Saksa;Neuvostoliitto;Japani;Yhdysvallat;1
Kirjallisuus ja taide;Kuka kirjoitti romaanin Anna Karenina?;Fjodor Dostojevski;Lev Tolstoi;Aleksandr Puškin;Mihail Bulgakov;2
Luonto ja tiede;Mitä ainetta hiilihapolliset juomat sisältävät?;Hiiltä;Happea;Vettä;Hiilidioksidia;4
Urheilu ja vapaa-aika;Kuka voitti miesten Wimbledonin tennisturnauksen vuonna 2019?;Roger Federer;Rafael Nadal;Novak Djokovic;Andy Murray;3
Kirjallisuus ja taide;Kuka maalasi taulun Tähtikirkas yö?;Pablo Picasso;Vincent van Gogh;Claude Monet;Paul Cézanne;2
Viihde;Minkä yhtyeen tunnuskappale on kappale nimeltään Back in Black?;AC/DC;Metallica;Guns N' Roses;Black Sabbath;1
Historia ja yhteiskunta;Missä valtiossa sijaitsee Maailman korkein vuori Mount Everest?;Nepal;Kiina;Tibet;Intia;1
Urheilu ja vapaa-aika;Mikä laji on synonyymi nyrkkeilylle?;Pugilismi;Kickboxing;Sumopaini;Paini;1
Maantiede;Missä Afrikan maassa on Sahara-automa?;Marokko;Etelä-Afrikka;Nigeria;Egypti;4
Luonto ja tiede;Mikä on suurin planeetta aurinkokunnassamme?;Jupiter;Saturnus;Mars;Maa;1
Kirjallisuus ja taide;Kuka kirjoitti romaanin Sotaratsu?;Margaret Mitchell;Herman Melville;Leo Tolstoi;Miguel de Cervantes;4
Viihde;Minkä niminen elokuva sai ensimmäisenä 11 Oscar-palkintoa vuonna 1959?;Ben-Hur;My Fair Lady;Gone with the Wind;The Sound of Music;1
Historia ja yhteiskunta;Kuka oli ensimmäinen Yhdysvaltain presidentti?;George Washington;Abraham Lincoln;Thomas Jefferson;John Adams;1
Urheilu ja vapaa-aika;Missä kaupungissa järjestettiin ensimmäiset modernit olympialaiset vuonna 1896?;Pariisi;Rooma;Atena;Berliini;3
Maantiede;Mikä on maailman suurin valtameri?;Atlantin valtameri;Intian valtameri;Eteläinen jäämeri;Tyyni valtameri;4
Luonto ja tiede;Mikä on maailman suurin eläin?;Sinivalas;Afrikan elefantti;Isojättiläiskalmari;Gorilla;1
Kirjallisuus ja taide;Minkä säveltäjän kuuluisin teos on Kevätuhri?;Jean Sibelius;Maurice Ravel;Igor Stravinsky;Ludwig van Beethoven;3
Viihde;Mikä oli Elvis Presleyn ensimmäinen elokuva?;Rakkauden kutsu;Elvis - rock'n'rollin kuningas;Jailhouse Rock;Love Me Tender;4
Historia ja yhteiskunta;Minkä valtion kansallispäivää vietetään 4. heinäkuuta?;Ranskan;Englannin;Yhdysvaltojen;Saksan;3
